"","grid2","grid1","dist","pairid","dcat"
"396","37_85","48_103",1901,"37_85.48_103",">1500"
"397","37_79","48_103",2292,"37_79.48_103",">1500"
"398","37_78","48_103",2360,"37_78.48_103",">1500"
"399","37_76","48_103",2499,"37_76.48_103",">1500"
"400","36_101","48_103",1343,"36_101.48_103","1301-1500"
"401","36_100","48_103",1355,"36_100.48_103","1301-1500"
"402","36_97","48_103",1420,"36_97.48_103","1301-1500"
"403","36_96","48_103",1450,"36_96.48_103","1301-1500"
"404","36_95","48_103",1484,"36_95.48_103","1301-1500"
"405","36_82","48_103",2169,"36_82.48_103",">1500"
"406","35_102","48_103",1446,"35_102.48_103","1301-1500"
"407","35_101","48_103",1453,"35_101.48_103","1301-1500"
"408","35_99","48_103",1481,"35_99.48_103","1301-1500"
"409","35_79","48_103",2440,"35_79.48_103",">1500"
"410","34_101","48_103",1564,"34_101.48_103",">1500"
"411","34_82","48_103",2329,"34_82.48_103",">1500"
"412","50_110","48_102",620,"50_110.48_102","501-700"
"413","49_107","48_102",382,"49_107.48_102","301-500"
"414","48_103","48_102",74,"48_103.48_102","<100"
"415","48_101","48_102",74,"48_101.48_102","<100"
"416","48_100","48_102",148,"48_100.48_102","100-300"
"417","47_108","48_102",461,"47_108.48_102","301-500"
"418","47_103","48_102",134,"47_103.48_102","100-300"
"419","47_102","48_102",111,"47_102.48_102","100-300"
"420","47_101","48_102",134,"47_101.48_102","100-300"
"421","47_100","48_102",186,"47_100.48_102","100-300"
"422","47_99","48_102",250,"47_99.48_102","100-300"
"423","47_98","48_102",318,"47_98.48_102","301-500"
"424","46_103","48_102",235,"46_103.48_102","100-300"
"425","46_102","48_102",222,"46_102.48_102","100-300"
"426","46_101","48_102",235,"46_101.48_102","100-300"
"427","46_100","48_102",269,"46_100.48_102","100-300"
"428","46_99","48_102",317,"46_99.48_102","301-500"
"429","45_105","48_102",404,"45_105.48_102","301-500"
"430","45_104","48_102",367,"45_104.48_102","301-500"
"431","45_103","48_102",342,"45_103.48_102","301-500"
"432","45_102","48_102",334,"45_102.48_102","301-500"
"433","45_101","48_102",342,"45_101.48_102","301-500"
"434","45_100","48_102",367,"45_100.48_102","301-500"
"435","45_99","48_102",404,"45_99.48_102","301-500"
"436","45_98","48_102",451,"45_98.48_102","301-500"
"437","44_102","48_102",445,"44_102.48_102","301-500"
"438","44_101","48_102",451,"44_101.48_102","301-500"
"439","44_100","48_102",470,"44_100.48_102","301-500"
"440","44_99","48_102",501,"44_99.48_102","501-700"
"441","44_98","48_102",540,"44_98.48_102","501-700"
"442","44_97","48_102",587,"44_97.48_102","501-700"
"443","44_89","48_102",1091,"44_89.48_102","901-1100"
"444","43_102","48_102",556,"43_102.48_102","501-700"
"445","43_100","48_102",577,"43_100.48_102","501-700"
"446","43_99","48_102",602,"43_99.48_102","501-700"
"447","43_97","48_102",677,"43_97.48_102","501-700"
"448","43_89","48_102",1148,"43_89.48_102","1101-1300"
"449","42_103","48_102",671,"42_103.48_102","501-700"
"450","42_102","48_102",667,"42_102.48_102","501-700"
"451","42_101","48_102",671,"42_101.48_102","501-700"
"452","42_99","48_102",707,"42_99.48_102","701-900"
"453","42_98","48_102",736,"42_98.48_102","701-900"
"454","42_95","48_102",862,"42_95.48_102","701-900"
"455","42_90","48_102",1149,"42_90.48_102","1101-1300"
"456","42_89","48_102",1213,"42_89.48_102","1101-1300"
"457","41_103","48_102",782,"41_103.48_102","701-900"
"458","41_102","48_102",778,"41_102.48_102","701-900"
"459","41_101","48_102",782,"41_101.48_102","701-900"
"460","41_100","48_102",794,"41_100.48_102","701-900"
"461","41_92","48_102",1106,"41_92.48_102","1101-1300"
"462","41_90","48_102",1222,"41_90.48_102","1101-1300"
"463","41_76","48_102",2180,"41_76.48_102",">1500"
"464","40_103","48_102",893,"40_103.48_102","701-900"
"465","40_102","48_102",889,"40_102.48_102","701-900"
"466","40_101","48_102",893,"40_101.48_102","701-900"
"467","40_99","48_102",920,"40_99.48_102","901-1100"
"468","40_96","48_102",1008,"40_96.48_102","901-1100"
"469","40_94","48_102",1092,"40_94.48_102","901-1100"
"470","40_92","48_102",1191,"40_92.48_102","1101-1300"
"471","40_91","48_102",1245,"40_91.48_102","1101-1300"
"472","40_90","48_102",1301,"40_90.48_102","1301-1500"
"473","40_89","48_102",1360,"40_89.48_102","1301-1500"
"474","40_84","48_102",1679,"40_84.48_102",">1500"
"475","40_83","48_102",1746,"40_83.48_102",">1500"
"476","40_79","48_102",2023,"40_79.48_102",">1500"
"477","40_77","48_102",2165,"40_77.48_102",">1500"
"478","40_76","48_102",2237,"40_76.48_102",">1500"
"479","40_75","48_102",2309,"40_75.48_102",">1500"
"480","39_103","48_102",1003,"39_103.48_102","901-1100"
"481","39_102","48_102",1000,"39_102.48_102","901-1100"
"482","39_101","48_102",1003,"39_101.48_102","901-1100"
"483","39_100","48_102",1013,"39_100.48_102","901-1100"
"484","39_99","48_102",1028,"39_99.48_102","901-1100"
"485","39_98","48_102",1050,"39_98.48_102","901-1100"
"486","39_97","48_102",1077,"39_97.48_102","901-1100"
"487","39_96","48_102",1109,"39_96.48_102","1101-1300"
"488","39_94","48_102",1187,"39_94.48_102","1101-1300"
"489","39_93","48_102",1231,"39_93.48_102","1101-1300"
"490","39_92","48_102",1280,"39_92.48_102","1101-1300"
"491","39_91","48_102",1331,"39_91.48_102","1301-1500"
"492","39_90","48_102",1385,"39_90.48_102","1301-1500"
